uid,name,phone,region_id,area_id,distributor_id,territory_id,points,routes,notes
R001,Retailer One,0123456781,c8c3ed5b-d5af-4b79-839c-bf8096895f0e,72741089-45de-4a98-8e88-46ae6bfcd848,576f71a1-d21f-467a-bafd-6bf73f72a4da,42f1fa46-c8f6-43cc-819a-e4a4daaa6147,10,Route A,Note 1
R002,Retailer Two,0123456782,c8c3ed5b-d5af-4b79-839c-bf8096895f0e,72741089-45de-4a98-8e88-46ae6bfcd848,576f71a1-d21f-467a-bafd-6bf73f72a4da,5d2ce337-a4ce-48dd-9850-4e0139d6a9dc,15,Route B,Note 2
R003,Retailer Three,0123456783,441f4f6b-5cda-4239-904e-06ae22a6ef95,f97f79e5-6503-4ae8-82ef-a3ca7bc40fb9,769d78cc-cefa-4ce5-9682-cc9c9382be5c,bae8b0d6-57ce-408d-9dc1-6d0870553927,20,Route C,Note 3
R004,Retailer Four,0123456784,441f4f6b-5cda-4239-904e-06ae22a6ef95,f97f79e5-6503-4ae8-82ef-a3ca7bc40fb9,4a3cb162-ffce-46d7-94fa-bc62259174b0,bae8b0d6-57ce-408d-9dc1-6d0870553927,25,Route D,Note 4
R005,Retailer Five,0123456785,c8c3ed5b-d5af-4b79-839c-bf8096895f0e,72741089-45de-4a98-8e88-46ae6bfcd848,576f71a1-d21f-467a-bafd-6bf73f72a4da,42f1fa46-c8f6-43cc-819a-e4a4daaa6147,30,Route E,Note 5
R006,Retailer Six,0123456786,c8c3ed5b-d5af-4b79-839c-bf8096895f0e,72741089-45de-4a98-8e88-46ae6bfcd848,576f71a1-d21f-467a-bafd-6bf73f72a4da,5d2ce337-a4ce-48dd-9850-4e0139d6a9dc,12,Route F,Note 6
R007,Retailer Seven,0123456787,441f4f6b-5cda-4239-904e-06ae22a6ef95,f97f79e5-6503-4ae8-82ef-a3ca7bc40fb9,769d78cc-cefa-4ce5-9682-cc9c9382be5c,bae8b0d6-57ce-408d-9dc1-6d0870553927,18,Route G,Note 7
R008,Retailer Eight,0123456788,441f4f6b-5cda-4239-904e-06ae22a6ef95,f97f79e5-6503-4ae8-82ef-a3ca7bc40fb9,4a3cb162-ffce-46d7-94fa-bc62259174b0,bae8b0d6-57ce-408d-9dc1-6d0870553927,22,Route H,Note 8
R009,Retailer Nine,0123456789,c8c3ed5b-d5af-4b79-839c-bf8096895f0e,72741089-45de-4a98-8e88-46ae6bfcd848,576f71a1-d21f-467a-bafd-6bf73f72a4da,42f1fa46-c8f6-43cc-819a-e4a4daaa6147,35,Route I,Note 9
R010,Retailer Ten,0123456790,c8c3ed5b-d5af-4b79-839c-bf8096895f0e,72741089-45de-4a98-8e88-46ae6bfcd848,576f71a1-d21f-467a-bafd-6bf73f72a4da,5d2ce337-a4ce-48dd-9850-4e0139d6a9dc,40,Route J,Note 10
